"Innvandrere, etter region, kjønn, landbakgrunn, tid  og  statistikkvariabel"

" ";" ";"Uoppgitt";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Askim"
" ";"Kvinner"
" ";" ";"Europa unntatt Tyrkia";91;148;168;167;166;167;166;165;174;180;191;196;212;209;215;228;236;248;256;283;299;315;333;358;385;421;432;464;475;508;545;569;590
" ";" ";"Afrika";0;3;3;0;3;3;3;4;6;6;3;4;4;7;7;8;9;7;12;25;25;34;35;40;50;50;48;54;62;68;67;75;85
" ";" ";"Asia med Tyrkia";3;23;43;54;60;65;84;90;102;108;120;130;133;144;151;165;177;194;201;248;262;285;315;344;346;361;393;411;427;441;460;475;502
" ";" ";"Nord-Amerika";8;10;6;7;6;5;4;3;3;3;4;4;4;4;4;4;5;5;5;4;4;4;3;3;3;3;3;4;4;4;6;5;5
" ";" ";"Sør- og Mellom-Amerika";0;0;6;7;5;4;7;9;9;9;7;6;7;6;7;8;9;13;13;12;14;14;16;16;18;23;32;26;29;30;30;26;30
" ";" ";"Oseania";0;0;0;0;0;0;0;0;0;0;0;0;3;3;0;0;0;3;0;0;3;3;3;3;0;0;0;0;0;3;0;0;0
" ";" ";"Statsløse";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
" ";" ";"Uoppgitt";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Eidsberg"
" ";"Kvinner"
" ";" ";"Europa unntatt Tyrkia";61;59;73;62;64;68;65;67;70;72;74;87;89;96;120;123;167;175;184;186;186;187;196;206;232;261;288;318;337;396;442;450;483
" ";" ";"Afrika";0;0;0;0;3;0;0;0;0;0;0;0;0;0;3;5;12;18;12;17;24;28;27;24;25;31;34;41;46;52;63;66;64
" ";" ";"Asia med Tyrkia";0;13;16;17;15;23;23;24;25;25;22;24;27;30;34;39;38;47;61;67;78;95;96;101;107;132;144;159;165;173;170;169;183
" ";" ";"Nord-Amerika";3;3;4;5;5;6;5;5;6;5;4;4;3;3;5;5;4;3;3;4;3;3;3;3;3;3;3;3;4;6;4;4;4
" ";" ";"Sør- og Mellom-Amerika";0;0;0;3;0;3;3;0;0;0;0;0;3;0;0;0;4;4;5;5;6;7;8;10;13;14;16;18;21;21;21;24;23
" ";" ";"Oseania";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
" ";" ";"Statsløse";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
" ";" ";"Uoppgitt";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Skiptvet"
" ";"Kvinner"
" ";" ";"Europa unntatt Tyrkia";6;15;18;20;24;19;20;21;21;22;19;31;30;33;30;36;40;41;45;51;66;63;71;60;60;58;62;72;79;96;95;102;106
" ";" ";"Afrika";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;5;4;5;4;3
" ";" ";"Asia med Tyrkia";0;0;0;0;3;3;3;4;10;14;7;6;3;4;4;3;6;9;8;12;12;14;18;22;30;28;31;31;33;35;38;34;41
" ";" ";"Nord-Amerika";3;3;3;3;3;3;3;3;3;0;0;0;0;0;0;0;0;3;3;3;3;3;3;3;3;3;3;3;3;4;4;3;0
" ";" ";"Sør- og Mellom-Amerika";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;3;3;3;3;3;3;3;5;3;5;6;8;10;11
" ";" ";"Oseania";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
" ";" ";"Statsløse";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
" ";" ";"Uoppgitt";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Rakkestad"
" ";"Kvinner"
" ";" ";"Europa unntatt Tyrkia";31;43;43;41;37;36;33;37;40;36;40;45;49;50;54;60;64;66;68;80;85;96;112;115;127;133;138;144;176;196;237;248;258
" ";" ";"Afrika";0;0;3;3;3;6;0;5;5;5;5;5;4;4;4;4;5;5;7;10;10;11;16;21;22;32;49;45;42;52;47;41;41
" ";" ";"Asia med Tyrkia";0;0;0;0;5;16;13;18;19;18;26;28;26;25;34;35;33;42;44;54;59;62;56;57;74;68;79;82;89;91;86;79;85
" ";" ";"Nord-Amerika";3;3;4;4;4;5;5;6;8;8;10;5;5;5;5;4;5;3;3;4;3;3;4;4;4;6;7;7;6;6;8;7;6
" ";" ";"Sør- og Mellom-Amerika";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3;3;3;5;7;7;7;4;3;4;4;5;6;5
" ";" ";"Oseania";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
" ";" ";"Statsløse";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
" ";" ";"Uoppgitt";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Råde"
" ";"Kvinner"
" ";" ";"Europa unntatt Tyrkia";33;43;43;41;41;37;38;37;37;79;100;57;54;57;56;54;59;54;54;58;61;76;83;92;111;117;119;122;132;150;154;179;192
" ";" ";"Afrika";0;0;0;0;0;3;6;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;3;8;16;15;22;25;34;35
" ";" ";"Asia med Tyrkia";0;4;5;4;5;5;3;3;0;5;9;3;3;3;3;4;7;9;9;12;13;12;18;13;24;28;33;40;48;53;57;67;70
" ";" ";"Nord-Amerika";3;11;6;5;6;5;6;4;3;4;4;4;4;4;3;5;3;4;4;3;3;3;3;3;3;3;3;3;3;3;4;3;3
" ";" ";"Sør- og Mellom-Amerika";0;0;0;0;0;0;4;5;5;5;5;6;5;3;5;5;5;9;8;6;5;6;6;8;9;10;11;9;7;9;8;8;10
" ";" ";"Oseania";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
" ";" ";"Statsløse";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
" ";" ";"Uoppgitt";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Rygge"
" ";"Kvinner"
" ";" ";"Europa unntatt Tyrkia";106;122;144;157;163;163;155;158;168;164;159;165;182;175;194;220;235;238;232;234;241;248;245;248;256;298;311;323;344;376;396;429;455
" ";" ";"Afrika";0;0;4;4;15;11;7;4;0;3;4;3;3;4;6;6;6;8;8;11;14;12;9;18;19;23;26;28;33;36;34;40;42
" ";" ";"Asia med Tyrkia";0;31;36;56;83;101;106;110;112;115;112;106;105;112;114;118;119;117;113;127;135;144;145;150;163;169;181;201;202;227;233;241;257
" ";" ";"Nord-Amerika";6;12;11;11;15;14;12;11;11;12;11;14;14;12;13;12;12;11;12;12;11;11;11;11;11;12;10;10;11;10;11;13;11
" ";" ";"Sør- og Mellom-Amerika";3;7;5;3;4;13;8;14;14;15;11;9;9;10;10;12;13;11;10;15;13;15;15;14;14;22;21;21;23;26;34;33;33
" ";" ";"Oseania";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
" ";" ";"Statsløse";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
" ";" ";"Uoppgitt";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Våler (Østf.)"
" ";"Kvinner"
