Nettoforbruk av elektrisk kraft (GWh), etter region, forbrukargruppe, tid  og ;;;;;
 statistikkvariabel;;;;;
;;;;;
 ; ;2011;2012;2013;2014
 ; ;Forbruk i alt;Forbruk i alt;Forbruk i alt;Forbruk i alt
 ;ALLE FORBRUKARGRUPPER;245.8;269.9;278.1;274.2
 ;BERGVERKSDRIFT OG INDUSTRI MV.;19.8;27.6;26.7;32.9
 ;TENESTEYTING MV.;68.3;72.0;78.1;74.9
 ;HUSHALD OG JORDBRUK;157.7;170.3;173.3;166.4
 ;Primærnæringer;2.3;1.4;1.4;1.4
 ;Hushald;153.5;166.9;169.8;163.1
 ;Hytter og fritidshus;1.8;1.9;2.0;1.9
Nannestad;;;;;
 ;ALLE FORBRUKARGRUPPER;105.9;113.5;116.0;112.1
 ;BERGVERKSDRIFT OG INDUSTRI MV.;4.5;4.6;4.5;3.6
 ;TENESTEYTING MV.;21.0;21.8;22.9;23.1
 ;HUSHALD OG JORDBRUK;80.3;87.2;88.6;85.4
 ;Primærnæringer;2.0;2.1;2.1;1.8
 ;Hushald;77.8;84.6;85.8;83.0
 ;Hytter og fritidshus;0.5;0.5;0.7;0.6
Hurdal;;;;;
 ;ALLE FORBRUKARGRUPPER;39.3;40.9;41.2;38.2
 ;BERGVERKSDRIFT OG INDUSTRI MV.;0.9;0.7;0.7;0.7
 ;TENESTEYTING MV.;13.4;14.4;14.3;12.5
 ;HUSHALD OG JORDBRUK;25.0;25.9;26.2;24.9
 ;Primærnæringer;0.2;0.2;0.2;0.3
 ;Hushald;21.9;22.4;22.7;21.6
 ;Hytter og fritidshus;3.0;3.3;3.3;3.0
Oslo kommune;;;;;
 ;ALLE FORBRUKARGRUPPER;8968.7;9310.9;9218.6;8764.2
 ;BERGVERKSDRIFT OG INDUSTRI MV.;912.6;1047.4;1096.3;939.4
 ;TENESTEYTING MV.;4149.6;4150.1;4185.6;4064.0
 ;HUSHALD OG JORDBRUK;3906.5;4113.4;3936.7;3760.7
 ;Primærnæringer;2.7;2.6;2.4;2.3
 ;Hushald;3902.8;4109.8;3933.3;3757.5
 ;Hytter og fritidshus;1.0;1.1;1.0;0.9
Kongsvinger;;;;;
 ;ALLE FORBRUKARGRUPPER;274.8;278.1;278.5;262.7
 ;BERGVERKSDRIFT OG INDUSTRI MV.;54.9;51.8;52.3;48.2
 ;TENESTEYTING MV.;98.3;98.5;96.0;89.0
 ;HUSHALD OG JORDBRUK;121.6;127.8;130.3;125.5
 ;Primærnæringer;3.3;3.7;3.0;3.2
 ;Hushald;115.4;121.2;124.2;119.6
 ;Hytter og fritidshus;2.9;3.0;3.1;2.7
Hamar;;;;;
 ;ALLE FORBRUKARGRUPPER;439.7;433.7;423.9;406.0
 ;BERGVERKSDRIFT OG INDUSTRI MV.;54.8;45.6;29.0;30.1
 ;TENESTEYTING MV.;192.4;192.3;189.6;174.1
 ;HUSHALD OG JORDBRUK;192.5;195.7;205.3;201.7
 ;Primærnæringer;7.6;7.1;8.0;7.2
 ;Hushald;183.8;187.4;195.8;193.1
 ;Hytter og fritidshus;1.1;1.3;1.5;1.4
Ringsaker;;;;;
 ;ALLE FORBRUKARGRUPPER;551.8;552.5;557.7;543.6
 ;BERGVERKSDRIFT OG INDUSTRI MV.;141.8;125.8;122.0;125.0
 ;TENESTEYTING MV.;137.0;141.9;140.6;135.3
 ;HUSHALD OG JORDBRUK;273.0;284.8;295.1;283.3
 ;Primærnæringer;33.9;37.6;37.7;35.3
 ;Hushald;214.4;220.8;228.7;217.6
 ;Hytter og fritidshus;24.7;26.4;28.7;30.4
Løten;;;;;
 ;ALLE FORBRUKARGRUPPER;85.0;92.2;91.6;88.9
 ;BERGVERKSDRIFT OG INDUSTRI MV.;6.7;6.8;7.9;8.4
 ;TENESTEYTING MV.;18.3;19.7;18.3;18.3
 ;HUSHALD OG JORDBRUK;59.9;65.7;65.4;62.3
