Nettoforbruk av elektrisk kraft (GWh), etter region, forbrukargruppe, tid  og ;;;;;
 statistikkvariabel;;;;;
;;;;;
 ; ;2011;2012;2013;2014
 ; ;Forbruk i alt;Forbruk i alt;Forbruk i alt;Forbruk i alt
 ;HUSHALD OG JORDBRUK;37.9;38.3;47.1;39.6
 ;Primærnæringer;0.5;0.6;0.7;0.6
 ;Hushald;15.4;15.4;15.2;14.8
 ;Hytter og fritidshus;22.0;22.3;31.2;24.2
Eigersund;;;;;
 ;ALLE FORBRUKARGRUPPER;224.3;248.7;254.5;244.8
 ;BERGVERKSDRIFT OG INDUSTRI MV.;50.4;63.0;67.2;70.3
 ;TENESTEYTING MV.;57.3;64.1;68.9;64.0
 ;HUSHALD OG JORDBRUK;116.7;121.6;118.5;110.6
 ;Primærnæringer;4.7;4.9;4.2;0.7
 ;Hushald;106.0;110.9;107.2;102.7
 ;Hytter og fritidshus;6.0;5.9;7.0;7.2
Sandnes;;;;;
 ;ALLE FORBRUKARGRUPPER;857.2;924.3;899.0;849.4
 ;BERGVERKSDRIFT OG INDUSTRI MV.;103.0;105.2;103.0;98.5
 ;TENESTEYTING MV.;293.2;304.5;295.6;277.9
 ;HUSHALD OG JORDBRUK;461.0;514.6;500.4;473.0
 ;Primærnæringer;16.1;17.0;16.3;14.8
 ;Hushald;434.3;487.6;472.5;447.5
 ;Hytter og fritidshus;10.5;9.9;11.5;10.8
Stavanger;;;;;
 ;ALLE FORBRUKARGRUPPER;1798.0;1900.7;1948.5;1789.1
 ;BERGVERKSDRIFT OG INDUSTRI MV.;233.6;245.0;232.3;214.4
 ;TENESTEYTING MV.;671.4;704.4;708.2;706.7
 ;HUSHALD OG JORDBRUK;893.1;951.3;1008.0;868.0
 ;Primærnæringer;8.9;7.5;5.7;4.6
 ;Hushald;881.1;940.9;999.1;860.7
 ;Hytter og fritidshus;3.1;2.9;3.2;2.8
Haugesund;;;;;
 ;ALLE FORBRUKARGRUPPER;460.8;494.2;473.4;460.7
 ;BERGVERKSDRIFT OG INDUSTRI MV.;36.9;42.6;44.7;41.8
 ;TENESTEYTING MV.;186.0;191.4;189.4;184.4
 ;HUSHALD OG JORDBRUK;237.8;260.2;239.3;234.5
 ;Primærnæringer;1.0;1.2;1.4;1.4
 ;Hushald;235.8;257.8;236.8;232.0
 ;Hytter og fritidshus;1.0;1.2;1.1;1.1
Sokndal;;;;;
 ;ALLE FORBRUKARGRUPPER;142.7;136.5;134.6;140.4
 ;BERGVERKSDRIFT OG INDUSTRI MV.;103.7;100.9;99.0;107.6
 ;TENESTEYTING MV.;8.4;9.4;10.0;9.9
 ;HUSHALD OG JORDBRUK;30.7;26.2;25.7;22.8
 ;Primærnæringer;1.3;1.1;0.0;0.6
 ;Hushald;27.2;22.7;23.4;22.1
 ;Hytter og fritidshus;2.2;2.3;2.3;0.2
Lund;;;;;
 ;ALLE FORBRUKARGRUPPER;54.8;56.3;57.4;54.3
 ;BERGVERKSDRIFT OG INDUSTRI MV.;9.9;10.9;10.8;9.5
 ;TENESTEYTING MV.;16.4;18.1;19.9;19.4
 ;HUSHALD OG JORDBRUK;28.5;27.4;26.7;25.4
 ;Primærnæringer;2.8;2.8;2.4;0.3
 ;Hushald;23.9;22.8;22.3;23.1
 ;Hytter og fritidshus;1.9;1.7;2.0;1.9
Bjerkreim;;;;;
 ;ALLE FORBRUKARGRUPPER;49.7;47.6;39.2;41.4
 ;BERGVERKSDRIFT OG INDUSTRI MV.;11.7;9.6;3.1;3.0
 ;TENESTEYTING MV.;9.7;10.3;10.6;11.4
 ;HUSHALD OG JORDBRUK;28.3;27.7;25.5;27.0
 ;Primærnæringer;7.2;7.6;3.2;0.8
 ;Hushald;17.8;16.8;18.5;22.7
 ;Hytter og fritidshus;3.3;3.3;3.8;3.5
Hå;;;;;
 ;ALLE FORBRUKARGRUPPER;277.2;295.0;313.0;306.9
 ;BERGVERKSDRIFT OG INDUSTRI MV.;76.9;83.1;91.0;96.9
 ;TENESTEYTING MV.;52.7;55.9;57.0;56.1
 ;HUSHALD OG JORDBRUK;147.7;156.1;165.0;153.9
 ;Primærnæringer;42.6;44.4;44.6;45.3
 ;Hushald;102.7;108.9;117.2;105.8
 ;Hytter og fritidshus;2.3;2.8;3.2;2.8
Klepp;;;;;
 ;ALLE FORBRUKARGRUPPER;293.4;308.1;316.8;308.8
 ;BERGVERKSDRIFT OG INDUSTRI MV.;73.9;70.8;49.1;68.5
 ;TENESTEYTING MV.;49.9;52.9;57.0;54.1
 ;HUSHALD OG JORDBRUK;169.6;184.4;210.8;186.1
 ;Primærnæringer;49.9;56.9;83.8;69.0
 ;Hushald;118.7;126.3;126.0;116.5
 ;Hytter og fritidshus;1.0;1.1;1.0;0.7
Time;;;;;
 ;ALLE FORBRUKARGRUPPER;222.3;228.0;234.0;222.1
 ;BERGVERKSDRIFT OG INDUSTRI MV.;29.2;26.9;27.4;24.9
 ;TENESTEYTING MV.;65.6;67.1;67.6;65.6
 ;HUSHALD OG JORDBRUK;127.5;133.9;139.0;131.6
 ;Primærnæringer;19.9;20.4;20.8;19.5
 ;Hushald;107.5;113.5;118.1;112.0
 ;Hytter og fritidshus;0.1;0.1;0.1;0.1
Gjesdal;;;;;
 ;ALLE FORBRUKARGRUPPER;133.9;135.8;141.1;140.3
 ;BERGVERKSDRIFT OG INDUSTRI MV.;22.1;20.6;20.6;21.3
 ;TENESTEYTING MV.;37.6;37.8;39.5;38.7
 ;HUSHALD OG JORDBRUK;74.3;77.4;80.9;80.3
 ;Primærnæringer;5.4;5.5;5.3;5.6
 ;Hushald;67.8;70.3;73.6;72.6
 ;Hytter og fritidshus;1.1;1.6;2.1;2.1
Sola;;;;;
 ;ALLE FORBRUKARGRUPPER;516.9;531.0;544.6;425.5
 ;BERGVERKSDRIFT OG INDUSTRI MV.;141.0;147.2;174.3;71.8
 ;TENESTEYTING MV.;190.1;192.6;176.9;170.5
 ;HUSHALD OG JORDBRUK;185.8;191.2;193.4;183.2
 ;Primærnæringer;26.6;28.4;28.1;25.3
 ;Hushald;157.5;161.2;163.4;156.2
 ;Hytter og fritidshus;1.7;1.6;1.8;1.7
Randaberg;;;;;
 ;ALLE FORBRUKARGRUPPER;125.6;129.7;130.7;125.6
 ;BERGVERKSDRIFT OG INDUSTRI MV.;20.6;21.8;21.5;20.8
 ;TENESTEYTING MV.;27.5;28.5;28.0;27.2
 ;HUSHALD OG JORDBRUK;77.5;79.4;81.2;77.6
 ;Primærnæringer;6.8;7.3;7.5;7.5
 ;Hushald;70.3;71.6;73.3;69.7
 ;Hytter og fritidshus;0.4;0.4;0.4;0.4
Forsand;;;;;
 ;ALLE FORBRUKARGRUPPER;27.7;29.1;31.1;36.7
 ;BERGVERKSDRIFT OG INDUSTRI MV.;6.9;7.2;7.9;13.7
 ;TENESTEYTING MV.;8.0;8.3;8.8;8.5
 ;HUSHALD OG JORDBRUK;12.8;13.7;14.4;14.5
 ;Primærnæringer;3.0;3.2;3.3;3.4
 ;Hushald;7.0;7.5;7.6;8.0
 ;Hytter og fritidshus;2.9;3.1;3.5;3.1
Strand;;;;;
 ;ALLE FORBRUKARGRUPPER;189.9;159.4;178.7;156.9
 ;BERGVERKSDRIFT OG INDUSTRI MV.;67.0;31.2;32.7;32.0
 ;TENESTEYTING MV.;33.2;34.6;49.1;32.3
 ;HUSHALD OG JORDBRUK;89.7;93.6;96.9;92.6
 ;Primærnæringer;6.5;6.8;6.6;6.2
 ;Hushald;76.7;80.8;83.4;80.1
 ;Hytter og fritidshus;6.5;6.1;6.9;6.3
Hjelmeland;;;;;
 ;ALLE FORBRUKARGRUPPER;57.4;57.8;60.9;57.2
 ;BERGVERKSDRIFT OG INDUSTRI MV.;11.3;11.0;10.6;10.2
 ;TENESTEYTING MV.;12.2;12.5;13.2;11.7
 ;HUSHALD OG JORDBRUK;33.9;34.3;37.1;35.2
 ;Primærnæringer;12.4;12.4;12.6;12.1
 ;Hushald;15.5;16.0;17.7;17.3
 ;Hytter og fritidshus;6.0;5.9;6.8;5.8
Suldal;;;;;
 ;ALLE FORBRUKARGRUPPER;96.8;97.2;97.4;93.0
 ;BERGVERKSDRIFT OG INDUSTRI MV.;36.2;33.9;31.4;32.0
 ;TENESTEYTING MV.;21.2;22.5;23.0;21.3
 ;HUSHALD OG JORDBRUK;39.4;40.7;43.1;39.7
 ;Primærnæringer;7.2;7.4;7.9;7.4
 ;Hushald;24.3;24.8;26.0;23.0
 ;Hytter og fritidshus;7.9;8.5;9.2;9.3
Sauda;;;;;
 ;ALLE FORBRUKARGRUPPER;777.5;794.9;765.1;759.1
 ;BERGVERKSDRIFT OG INDUSTRI MV.;711.4;727.9;696.0;697.9
 ;TENESTEYTING MV.;24.2;23.6;25.6;22.4
 ;HUSHALD OG JORDBRUK;42.0;43.3;43.6;38.7
 ;Primærnæringer;0.8;0.7;0.8;0.7
 ;Hushald;37.3;38.6;38.2;34.1
 ;Hytter og fritidshus;3.9;4.1;4.5;4.0
Finnøy;;;;;
 ;ALLE FORBRUKARGRUPPER;47.2;57.4;62.9;63.8
 ;BERGVERKSDRIFT OG INDUSTRI MV.;0.9;1.1;1.1;0.8
 ;TENESTEYTING MV.;8.1;9.0;9.7;9.4
 ;HUSHALD OG JORDBRUK;38.2;47.3;52.1;53.6
 ;Primærnæringer;17.8;25.9;29.1;31.1
 ;Hushald;15.3;16.4;17.3;17.3
 ;Hytter og fritidshus;5.0;5.0;5.7;5.2
Rennesøy;;;;;
 ;ALLE FORBRUKARGRUPPER;54.6;59.4;62.8;62.7
 ;BERGVERKSDRIFT OG INDUSTRI MV.;1.0;0.9;0.8;0.9
 ;TENESTEYTING MV.;16.9;17.9;19.2;20.4
 ;HUSHALD OG JORDBRUK;36.7;40.5;42.7;41.4
 ;Primærnæringer;5.4;6.9;7.4;7.5
 ;Hushald;28.4;30.8;32.1;31.0
 ;Hytter og fritidshus;2.9;2.8;3.2;2.9
Kvitsøy;;;;;
 ;ALLE FORBRUKARGRUPPER;6.1;5.7;5.7;6.1
 ;BERGVERKSDRIFT OG INDUSTRI MV.;0.2;0.2;0.3;0.2
 ;TENESTEYTING MV.;2.2;1.5;1.5;1.7
 ;HUSHALD OG JORDBRUK;3.7;3.9;3.9;4.1
 ;Primærnæringer;0.0;0.2;0.0;0.1
 ;Hushald;3.5;3.6;3.7;3.8
 ;Hytter og fritidshus;0.2;0.2;0.2;0.2
Bokn;;;;;
 ;ALLE FORBRUKARGRUPPER;15.3;16.2;16.3;16.2
 ;BERGVERKSDRIFT OG INDUSTRI MV.;1.1;1.1;1.2;1.3
 ;TENESTEYTING MV.;4.1;4.1;3.9;4.0
 ;HUSHALD OG JORDBRUK;10.2;11.0;11.1;10.9
 ;Primærnæringer;2.7;3.3;3.1;3.2
 ;Hushald;6.1;6.4;6.6;6.3
 ;Hytter og fritidshus;1.4;1.4;1.4;1.5
Tysvær;;;;;
 ;ALLE FORBRUKARGRUPPER;816.0;811.6;829.0;878.8
 ;BERGVERKSDRIFT OG INDUSTRI MV.;703.3;696.2;708.4;765.0
 ;TENESTEYTING MV.;32.3;30.6;31.9;29.9
 ;HUSHALD OG JORDBRUK;80.3;84.8;88.7;83.9
 ;Primærnæringer;6.9;7.4;7.7;7.9
 ;Hushald;64.9;68.5;71.5;67.3
 ;Hytter og fritidshus;8.6;9.0;9.5;8.7
Karmøy;;;;;
 ;ALLE FORBRUKARGRUPPER;3204.6;3250.4;3266.7;3272.0
 ;BERGVERKSDRIFT OG INDUSTRI MV.;2771.1;2792.4;2800.5;2831.3
 ;TENESTEYTING MV.;133.5;141.1;143.2;137.0
 ;HUSHALD OG JORDBRUK;299.9;316.9;323.0;303.7
 ;Primærnæringer;5.1;5.4;5.1;4.7
 ;Hushald;289.5;305.7;312.2;293.6
 ;Hytter og fritidshus;5.3;5.8;5.8;5.4
Utsira;;;;;
 ;ALLE FORBRUKARGRUPPER;3.4;3.6;3.6;3.5
 ;BERGVERKSDRIFT OG INDUSTRI MV.;0.1;0.0;0.0;0.1
 ;TENESTEYTING MV.;1.4;1.5;1.6;1.4
 ;HUSHALD OG JORDBRUK;2.0;2.1;2.0;2.0
 ;Primærnæringer;0.0;0.1;0.0;0.0
 ;Hushald;1.7;1.7;1.7;1.7
 ;Hytter og fritidshus;0.3;0.3;0.3;0.3
Vindafjord;;;;;
 ;ALLE FORBRUKARGRUPPER;157.9;160.5;163.7;152.1
 ;BERGVERKSDRIFT OG INDUSTRI MV.;34.5;30.0;30.4;27.6
 ;TENESTEYTING MV.;41.2;42.1;41.8;38.9
 ;HUSHALD OG JORDBRUK;82.2;88.4;91.4;85.6
 ;Primærnæringer;16.2;17.9;18.9;18.5
 ;Hushald;58.3;62.4;63.8;59.0
 ;Hytter og fritidshus;7.7;8.1;8.7;8.2
Bergen;;;;;
 ;ALLE FORBRUKARGRUPPER;3530.9;3776.8;3680.3;3477.5
 ;BERGVERKSDRIFT OG INDUSTRI MV.;256.0;263.5;238.4;230.6
 ;TENESTEYTING MV.;1452.0;1540.2;1480.1;1414.2
 ;HUSHALD OG JORDBRUK;1822.8;1973.2;1961.9;1832.6
 ;Primærnæringer;7.3;7.4;7.0;6.5
 ;Hushald;1810.5;1960.5;1949.5;1820.9
 ;Hytter og fritidshus;5.1;5.3;5.4;5.3
Etne;;;;;
 ;ALLE FORBRUKARGRUPPER;56.9;58.8;60.9;57.8
 ;BERGVERKSDRIFT OG INDUSTRI MV.;5.8;6.2;6.5;6.0
 ;TENESTEYTING MV.;15.7;15.1;15.2;15.6
 ;HUSHALD OG JORDBRUK;35.5;37.4;39.2;36.2
 ;Primærnæringer;4.4;4.7;3.1;3.6
 ;Hushald;26.6;27.7;30.9;27.8
 ;Hytter og fritidshus;4.5;5.1;5.3;4.7
Sveio;;;;;
 ;ALLE FORBRUKARGRUPPER;63.8;67.1;71.9;67.7
 ;BERGVERKSDRIFT OG INDUSTRI MV.;1.9;1.9;2.1;2.1
 ;TENESTEYTING MV.;12.1;12.3;13.2;12.2
 ;HUSHALD OG JORDBRUK;49.8;52.8;56.6;53.3
 ;Primærnæringer;7.1;7.6;9.3;8.5
 ;Hushald;34.8;37.0;38.4;36.3
 ;Hytter og fritidshus;7.9;8.2;8.9;8.5
Bømlo;;;;;
 ;ALLE FORBRUKARGRUPPER;148.4;154.7;158.0;154.8
 ;BERGVERKSDRIFT OG INDUSTRI MV.;27.3;28.2;27.6;30.7
 ;TENESTEYTING MV.;27.1;30.4;32.4;30.6
 ;HUSHALD OG JORDBRUK;94.0;96.0;98.0;93.5
 ;Primærnæringer;3.1;3.5;3.4;3.8
 ;Hushald;81.7;83.1;84.1;79.6
 ;Hytter og fritidshus;9.3;9.5;10.5;10.1
Stord;;;;;
 ;ALLE FORBRUKARGRUPPER;230.1;242.7;255.8;252.1
 ;BERGVERKSDRIFT OG INDUSTRI MV.;32.1;39.1;43.8;47.8
 ;TENESTEYTING MV.;73.1;75.2;78.2;78.2
 ;HUSHALD OG JORDBRUK;124.9;128.4;133.8;126.0
 ;Primærnæringer;2.5;2.4;2.8;3.5
 ;Hushald;121.5;125.2;130.0;121.4
 ;Hytter og fritidshus;0.9;0.9;1.0;1.2
Fitjar;;;;;
 ;ALLE FORBRUKARGRUPPER;43.8;47.0;47.2;39.2
 ;BERGVERKSDRIFT OG INDUSTRI MV.;6.5;7.6;7.5;3.5
 ;TENESTEYTING MV.;9.2;9.6;9.4;8.3
 ;HUSHALD OG JORDBRUK;28.0;29.8;30.4;27.4
 ;Primærnæringer;3.6;4.0;4.2;4.8
 ;Hushald;21.5;22.7;22.8;19.7
 ;Hytter og fritidshus;2.9;3.1;3.4;3.0
Tysnes;;;;;
 ;ALLE FORBRUKARGRUPPER;40.9;40.7;43.8;41.2
 ;BERGVERKSDRIFT OG INDUSTRI MV.;3.8;4.0;3.1;4.8
 ;TENESTEYTING MV.;8.0;8.4;8.7;8.3
 ;HUSHALD OG JORDBRUK;29.1;28.3;32.0;28.1
 ;Primærnæringer;3.3;3.2;3.3;3.5
 ;Hushald;19.1;18.3;20.9;17.9
 ;Hytter og fritidshus;6.6;6.8;7.8;6.7
Kvinnherad;;;;;
 ;ALLE FORBRUKARGRUPPER;1540.7;1577.4;1657.3;1574.1
 ;BERGVERKSDRIFT OG INDUSTRI MV.;1374.7;1414.9;1490.5;1416.7
 ;TENESTEYTING MV.;60.3;55.7;58.7;54.3
 ;HUSHALD OG JORDBRUK;105.7;106.8;108.1;103.1
 ;Primærnæringer;5.1;5.6;6.4;5.8
 ;Hushald;91.1;92.2;91.9;88.6
 ;Hytter og fritidshus;9.5;9.0;9.8;8.6
Jondal;;;;;
 ;ALLE FORBRUKARGRUPPER;20.3;21.5;20.1;18.6
 ;BERGVERKSDRIFT OG INDUSTRI MV.;1.2;1.4;1.5;1.3
 ;TENESTEYTING MV.;6.8;6.1;5.2;4.8
 ;HUSHALD OG JORDBRUK;12.3;14.0;13.4;12.5
 ;Primærnæringer;2.0;2.6;1.9;1.8
 ;Hushald;8.3;8.8;8.7;8.0
 ;Hytter og fritidshus;1.9;2.6;2.8;2.7
Odda;;;;;
 ;ALLE FORBRUKARGRUPPER;1147.2;1164.1;1182.5;1193.2
 ;BERGVERKSDRIFT OG INDUSTRI MV.;1038.3;1029.7;1069.0;1091.1
 ;TENESTEYTING MV.;45.7;58.0;45.5;41.4
 ;HUSHALD OG JORDBRUK;63.2;76.4;68.0;60.8
 ;Primærnæringer;1.1;1.3;1.2;1.0
 ;Hushald;54.2;65.1;57.3;50.9
 ;Hytter og fritidshus;7.9;9.9;9.5;8.9
Ullensvang;;;;;
 ;ALLE FORBRUKARGRUPPER;50.8;51.3;53.0;47.4
 ;BERGVERKSDRIFT OG INDUSTRI MV.;4.4;3.4;3.6;3.3
 ;TENESTEYTING MV.;18.6;18.6;19.9;16.7
 ;HUSHALD OG JORDBRUK;27.7;29.3;29.5;27.4
 ;Primærnæringer;0.9;1.0;1.0;0.8
 ;Hushald;25.4;26.9;27.1;25.2
 ;Hytter og fritidshus;1.4;1.5;1.5;1.5
Eidfjord;;;;;
 ;ALLE FORBRUKARGRUPPER;24.3;25.7;27.7;27.6
 ;BERGVERKSDRIFT OG INDUSTRI MV.;1.1;1.1;2.1;1.8
 ;TENESTEYTING MV.;9.1;9.9;10.4;9.5
 ;HUSHALD OG JORDBRUK;14.1;14.7;15.2;16.3
 ;Primærnæringer;0.3;0.3;0.3;2.0
 ;Hushald;7.3;7.8;8.0;7.4
 ;Hytter og fritidshus;6.5;6.6;6.9;6.9
Ulvik;;;;;
 ;ALLE FORBRUKARGRUPPER;24.8;25.9;25.8;21.0
 ;BERGVERKSDRIFT OG INDUSTRI MV.;0.6;0.8;0.8;0.8
 ;TENESTEYTING MV.;10.1;10.2;10.6;8.6
 ;HUSHALD OG JORDBRUK;14.2;14.9;14.3;11.6
 ;Primærnæringer;3.0;3.1;2.8;0.6
 ;Hushald;8.9;9.7;9.6;8.9
 ;Hytter og fritidshus;2.3;2.0;2.0;2.1
Granvin;;;;;
 ;ALLE FORBRUKARGRUPPER;15.5;17.0;17.7;17.9
 ;BERGVERKSDRIFT OG INDUSTRI MV.;3.7;4.0;3.9;3.8
 ;TENESTEYTING MV.;4.4;5.2;5.8;6.7
 ;HUSHALD OG JORDBRUK;7.3;7.7;8.0;7.4
 ;Primærnæringer;0.1;0.1;0.1;0.1
 ;Hushald;6.6;7.0;7.2;6.6
 ;Hytter og fritidshus;0.7;0.6;0.7;0.6
Voss;;;;;
 ;ALLE FORBRUKARGRUPPER;220.7;234.9;250.3;235.6
 ;BERGVERKSDRIFT OG INDUSTRI MV.;12.2;12.8;13.0;12.4
 ;TENESTEYTING MV.;84.4;92.4;105.5;100.3
 ;HUSHALD OG JORDBRUK;124.1;129.6;131.8;122.8
 ;Primærnæringer;10.8;10.7;10.5;9.8
 ;Hushald;97.5;102.0;103.0;95.2
 ;Hytter og fritidshus;15.8;16.9;18.3;17.8
Kvam;;;;;
 ;ALLE FORBRUKARGRUPPER;529.1;477.5;509.2;547.8
 ;BERGVERKSDRIFT OG INDUSTRI MV.;393.5;336.7;367.2;417.3
 ;TENESTEYTING MV.;38.5;39.2;39.2;36.3
 ;HUSHALD OG JORDBRUK;97.1;101.6;102.8;94.2
 ;Primærnæringer;16.7;19.5;14.6;16.5
 ;Hushald;62.3;64.2;68.0;60.1
 ;Hytter og fritidshus;18.1;17.9;20.2;17.6
Fusa;;;;;
 ;ALLE FORBRUKARGRUPPER;77.3;70.9;73.6;71.4
 ;BERGVERKSDRIFT OG INDUSTRI MV.;26.5;17.6;16.5;17.8
 ;TENESTEYTING MV.;10.9;11.9;12.5;12.5
 ;HUSHALD OG JORDBRUK;39.9;41.4;44.6;41.2
 ;Primærnæringer;7.8;6.9;9.1;9.1
 ;Hushald;26.5;27.9;28.4;25.6
 ;Hytter og fritidshus;5.7;6.6;7.1;6.5
Samnanger;;;;;
 ;ALLE FORBRUKARGRUPPER;29.4;31.2;32.8;29.2
 ;BERGVERKSDRIFT OG INDUSTRI MV.;1.8;1.6;1.5;1.9
 ;TENESTEYTING MV.;6.2;7.1;8.9;6.6
 ;HUSHALD OG JORDBRUK;21.5;22.5;22.4;20.7
 ;Primærnæringer;0.6;0.7;0.8;0.6
 ;Hushald;17.8;18.9;18.6;17.3
 ;Hytter og fritidshus;3.0;2.9;3.0;2.7
Os (Hord.);;;;;
 ;ALLE FORBRUKARGRUPPER;206.1;222.0;222.6;209.3
 ;BERGVERKSDRIFT OG INDUSTRI MV.;18.9;18.4;17.1;16.4
 ;TENESTEYTING MV.;57.6;61.1;60.6;56.2
 ;HUSHALD OG JORDBRUK;129.6;142.5;144.9;136.7
 ;Primærnæringer;3.2;3.0;3.6;4.0
 ;Hushald;122.2;134.5;136.3;128.1
 ;Hytter og fritidshus;4.2;4.9;5.0;4.6
Austevoll;;;;;
 ;ALLE FORBRUKARGRUPPER;81.3;88.0;88.0;85.3
 ;BERGVERKSDRIFT OG INDUSTRI MV.;19.7;22.2;20.6;20.6
 ;TENESTEYTING MV.;17.5;18.2;18.5;17.9
 ;HUSHALD OG JORDBRUK;44.1;47.7;48.9;46.9
 ;Primærnæringer;3.1;3.6;3.6;3.4
 ;Hushald;33.4;36.1;36.5;34.8
 ;Hytter og fritidshus;7.6;8.0;8.8;8.7
Sund;;;;;
 ;ALLE FORBRUKARGRUPPER;74.1;81.2;81.7;79.0
 ;BERGVERKSDRIFT OG INDUSTRI MV.;14.0;14.3;14.5;14.7
 ;TENESTEYTING MV.;12.6;15.7;15.3;15.2
 ;HUSHALD OG JORDBRUK;47.5;51.2;51.9;49.1
 ;Primærnæringer;0.3;0.4;0.4;0.5
 ;Hushald;43.7;46.8;47.4;45.0
 ;Hytter og fritidshus;3.6;4.0;4.1;3.7
Fjell;;;;;
 ;ALLE FORBRUKARGRUPPER;308.0;338.5;335.3;313.6
 ;BERGVERKSDRIFT OG INDUSTRI MV.;51.8;56.0;48.4;40.5
 ;TENESTEYTING MV.;94.6;104.2;107.9;102.2
 ;HUSHALD OG JORDBRUK;161.7;178.2;179.1;170.9
 ;Primærnæringer;1.8;2.2;1.0;1.1
 ;Hushald;152.6;168.4;170.0;162.3
 ;Hytter og fritidshus;7.2;7.7;8.1;7.5
Askøy;;;;;
 ;ALLE FORBRUKARGRUPPER;276.2;291.1;301.5;284.6
 ;BERGVERKSDRIFT OG INDUSTRI MV.;19.1;19.2;19.3;27.8
 ;TENESTEYTING MV.;68.9;74.8;78.8;67.3
 ;HUSHALD OG JORDBRUK;188.2;197.1;203.3;189.4
 ;Primærnæringer;4.9;5.0;5.4;5.4
 ;Hushald;178.6;187.2;192.8;179.3
 ;Hytter og fritidshus;4.8;4.9;5.1;4.7
Vaksdal;;;;;
 ;ALLE FORBRUKARGRUPPER;63.2;67.1;82.5;74.9
 ;BERGVERKSDRIFT OG INDUSTRI MV.;14.4;14.6;13.4;10.5
 ;TENESTEYTING MV.;13.8;14.2;30.4;29.3
 ;HUSHALD OG JORDBRUK;35.0;38.3;38.8;35.1
 ;Primærnæringer;0.7;0.7;0.7;0.6
 ;Hushald;30.8;33.8;33.8;30.7
 ;Hytter og fritidshus;3.4;3.9;4.3;3.8
Modalen;;;;;
 ;ALLE FORBRUKARGRUPPER;8.1;8.3;7.9;7.3
 ;BERGVERKSDRIFT OG INDUSTRI MV.;1.1;0.8;0.8;0.8
 ;TENESTEYTING MV.;2.7;3.1;2.8;2.6
 ;HUSHALD OG JORDBRUK;4.3;4.4;4.3;3.9
 ;Primærnæringer;0.2;0.2;0.3;0.2
 ;Hushald;3.4;3.5;3.3;3.1
 ;Hytter og fritidshus;0.7;0.7;0.6;0.6
Osterøy;;;;;
 ;ALLE FORBRUKARGRUPPER;99.2;104.7;104.2;99.5
 ;BERGVERKSDRIFT OG INDUSTRI MV.;19.6;20.4;20.5;20.9
 ;TENESTEYTING MV.;19.9;20.3;19.4;18.5
 ;HUSHALD OG JORDBRUK;59.7;64.0;64.3;60.2
 ;Primærnæringer;3.3;3.1;3.2;3.0
 ;Hushald;53.1;57.3;57.4;53.7
 ;Hytter og fritidshus;3.3;3.6;3.8;3.4
Meland;;;;;
 ;ALLE FORBRUKARGRUPPER;85.0;93.7;93.3;89.9
 ;BERGVERKSDRIFT OG INDUSTRI MV.;17.1;19.2;19.2;19.1
 ;TENESTEYTING MV.;13.6;14.3;14.3;13.7
 ;HUSHALD OG JORDBRUK;54.3;60.1;59.8;57.1
 ;Primærnæringer;3.6;4.3;3.2;3.5
 ;Hushald;46.9;51.8;52.2;49.7
 ;Hytter og fritidshus;3.8;4.1;4.3;3.9
Øygarden;;;;;
 ;ALLE FORBRUKARGRUPPER;1907.6;2401.4;2171.9;2204.8
 ;BERGVERKSDRIFT OG INDUSTRI MV.;1854.9;2344.4;2114.8;2150.1
 ;TENESTEYTING MV.;13.5;14.1;13.6;12.9
 ;HUSHALD OG JORDBRUK;39.2;42.8;43.5;41.8
 ;Primærnæringer;2.6;3.3;3.5;3.9
 ;Hushald;31.8;34.4;34.4;32.7
 ;Hytter og fritidshus;4.9;5.2;5.6;5.2
Radøy;;;;;
 ;ALLE FORBRUKARGRUPPER;63.3;67.9;67.7;63.7
 ;BERGVERKSDRIFT OG INDUSTRI MV.;8.6;9.1;8.4;8.9
 ;TENESTEYTING MV.;12.9;13.7;13.6;12.3
 ;HUSHALD OG JORDBRUK;41.8;45.2;45.7;42.5
 ;Primærnæringer;1.5;1.7;1.8;1.5
 ;Hushald;35.7;38.7;38.7;36.1
 ;Hytter og fritidshus;4.6;4.8;5.2;4.8
Lindås;;;;;
 ;ALLE FORBRUKARGRUPPER;235.6;244.0;240.0;227.7
 ;BERGVERKSDRIFT OG INDUSTRI MV.;69.2;56.1;55.4;52.1
 ;TENESTEYTING MV.;53.6;63.7;59.6;57.1
 ;HUSHALD OG JORDBRUK;112.8;124.2;125.0;118.5
 ;Primærnæringer;3.0;3.4;3.9;4.1
 ;Hushald;101.4;111.6;111.5;105.6
 ;Hytter og fritidshus;8.4;9.2;9.6;8.8
Austrheim;;;;;
 ;ALLE FORBRUKARGRUPPER;656.4;745.5;782.6;717.4
 ;BERGVERKSDRIFT OG INDUSTRI MV.;621.7;709.6;746.8;682.6
 ;TENESTEYTING MV.;9.1;10.6;10.5;10.8
 ;HUSHALD OG JORDBRUK;25.6;25.3;25.3;23.9
 ;Primærnæringer;0.2;0.1;0.1;0.1
 ;Hushald;22.9;22.6;22.5;21.4
 ;Hytter og fritidshus;2.5;2.5;2.7;2.5
Fedje;;;;;
 ;ALLE FORBRUKARGRUPPER;9.1;8.7;8.5;8.2
 ;BERGVERKSDRIFT OG INDUSTRI MV.;0.9;0.2;0.2;0.2
