"Omsetning per innbygger i detaljhandel (kr), etter region, tid  og "
" statistikkvariabel"

" ";"2008";"2009";"2010";"2011";"2012";"2013";"2014"
" ";"Omsetning";"Omsetning";"Omsetning";"Omsetning";"Omsetning";"Omsetning";"Omsetning"
"Austevoll";53805;55394;55385;55209;59831;60956;62911
"Sund";18632;19845;22280;22759;24282;24467;24499
"Fjell";85305;87803;88548;88258;89106;79661;82318
"Askøy";47040;46294;49217;49487;50075;50382;52069
"Vaksdal";29488;28412;28459;29334;29654;29865;31230
"Modalen";40656;40470;38983;36670;36176;45057;44086
"Osterøy";34153;33885;34540;35952;36040;34551;37368
"Meland";37268;38352;39071;46995;48868;49409;44096
"Øygarden";25030;26695;29565;30737;30139;30425;30527
"Radøy";30840;32208;32864;33461;34375;32934;37013
"Lindås";81177;78864;79259;84533;84971;88108;88415
"Austrheim";59245;62165;54066;49261;50923;48288;50760
"Fedje";26059;27101;26852;27649;28102;28408;30533
"Masfjorden";25725;27327;28720;29708;31077;32607;34083
"Flora";59347;58261;57871;59027;63361;64365;68035
"Gulen";34872;38081;38465;39732;41688;46878;50528
"Solund";48534;46422;45875;47102;48780;50103;54609
"Hyllestad";34015;35130;33481;31431;33173;34872;37448
"Høyanger";44682;45618;45644;47208;49559;49874;50848
"Vik";46102;42410;42787;47230;48800;48338;51346
"Balestrand";33630;31849;30952;33086;32565;28772;29966
"Leikanger";30967;32149;34317;35097;36915;36149;36303
"Sogndal";84796;90639;94206;95235;97064;102125;104587
"Aurland";60116;63908;66243;71181;74485;74198;79639
"Lærdal";51429;49272;50199;50069;50214;53671;56705
"Årdal";60641;56467;59133;61444;59272;58072;61376
"Luster";40371;38141;41870;43581;45038;46483;48596
"Askvoll";43762;46233;49814;50849;54547;53170;57962
"Fjaler";37812;38469;44447;44048;45198;45645;47474
"Gaular";23606;23447;23323;23919;24858;27817;31461
"Jølster";36780;39009;40245;41519;44722;44838;46859
"Førde";128791;140053;136177;135615;134008;134282;138747
"Naustdal";17279;18139;17893;18793;19522;20010;21747
"Bremanger";29969;29533;29129;30131;30711;30020;30553
"Vågsøy";70725;68556;69172;74516;78292;77091;76466
"Selje";26772;31167;30032;29848;32655;32612;33638
"Eid";80988;88901;81109;78727;77112;76957;79869
"Hornindal";28001;28085;29601;29539;32369;31610;33496
"Gloppen";62512;66914;66015;69200;69931;71874;71929
"Stryn";71283;72897;71069;75763;79395;78218;79943
"Molde";98159;102981;104962;105211;105089;104485;106927
"Ålesund";102539;107671;109536;111246;112820;113527;115856
"Kristiansund";79602;80908;80848;82583;85686;88664;90532
"Vanylven";52193;52827;55815;56116;55890;58446;58842
"Sande (M. og R.)";25030;24406;23624;23112;23226;23705;24619
"Herøy (M. og R.)";47923;55053;55455;55899;58403;57820;61638
"Ulstein";100476;97067;97142;94025;95737;95609;98038
"Hareid";33465;33677;31390;34114;34697;34621;36942
"Volda";66394;71112;73366;75771;83424;83480;84895
"Ørsta";66134;66703;66389;70174;72081;74701;80410
"Ørskog";42021;39610;34788;37516;41159;41890;43216
"Norddal";60759;60748;62363;63093;69687;70561;75023
"Stranda";52659;49649;51062;52366;55285;55661;58764
"Stordal";37628;31753;32114;32364;33420;30017;33729
"Sykkylven";46593;48253;48474;48738;52125;53868;57176
"Skodje";25866;24588;25587;25625;25790;26964;36157
"Sula";31331;31722;34362;35301;37558;39532;41989
"Giske";37352;36546;35762;35955;38598;39554;40066
