Innvandrere, etter region, kjønn, landbakgrunn, tid  og  statistikkvariabel;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 ; ; ;1970;1980;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016
 ; ; ;Innvandrere;Innvandrere;Innvandrere;Innvandrere;Innvandrere;Innvandrere;Innvandrere;Innvandrere;Innvandrere;Innvandrere;Innvandrere;Innvandrere;Innvandrere;Innvandrere;Innvandrere;Innvandrere;Innvandrere;Innvandrere;Innvandrere;Innvandrere;Innvandrere;Innvandrere;Innvandrere;Innvandrere;Innvandrere;Innvandrere;Innvandrere;Innvandrere;Innvandrere;Innvandrere;Innvandrere;Innvandrere;Innvandrere
 ; ;Sør- og Mellom-Amerika;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
 ; ;Oseania;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
 ; ;Statsløse;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
 ; ;Uoppgitt;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Marker;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 ;Menn;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 ; ;Europa unntatt Tyrkia;22;20;19;19;17;18;20;22;24;22;18;26;30;30;33;32;42;40;41;55;54;56;57;59;61;61;70;65;81;88;85;95;90
 ; ;Afrika;0;0;0;0;17;12;10;11;9;8;5;5;4;5;6;6;6;6;5;6;7;12;11;17;17;18;15;15;18;17;17;19;20
 ; ;Asia med Tyrkia;0;0;0;0;16;4;5;5;5;3;3;3;3;3;3;4;3;3;3;6;5;4;8;10;13;13;16;14;18;16;17;17;16
 ; ;Nord-Amerika;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;3;0;0;0;0;3;0;3;3;3;0;0;0;3;0;0;3;0
 ; ;Sør- og Mellom-Amerika;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;3;0;0;3
 ; ;Oseania;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
 ; ;Statsløse;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
 ; ;Uoppgitt;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Rømskog;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 ;Menn;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 ; ;Europa unntatt Tyrkia;0;3;3;3;3;3;3;5;5;3;4;5;6;10;11;8;10;10;8;9;9;10;11;11;14;16;21;20;21;21;21;21;24
 ; ;Afrika;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
 ; ;Asia med Tyrkia;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3;3;3;3;3;3;3
 ; ;Nord-Amerika;0;0;3;3;3;3;0;0;0;0;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
 ; ;Sør- og Mellom-Amerika;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
 ; ;Oseania;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
 ; ;Statsløse;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
 ; ;Uoppgitt;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Trøgstad;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 ;Menn;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 ; ;Europa unntatt Tyrkia;31;39;34;34;34;33;34;33;30;30;29;40;37;41;46;47;45;49;54;56;52;59;69;73;86;98;120;150;170;199;217;221;223
 ; ;Afrika;0;3;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;3;3;3;0;3;4;3;5;8;11;12;21;20;21
 ; ;Asia med Tyrkia;0;0;0;3;3;10;14;14;10;10;10;9;9;10;11;9;13;20;19;14;19;22;25;24;22;23;16;17;20;19;19;22;23
 ; ;Nord-Amerika;3;0;0;0;0;0;0;0;0;0;0;0;3;3;0;0;0;0;3;0;0;0;3;3;3;3;0;0;0;3;0;0;3
 ; ;Sør- og Mellom-Amerika;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3;3;3;3;0
 ; ;Oseania;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0
 ; ;Statsløse;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
