236,Nes,Årnes,Akershus,20410,637360,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6e/NO_0236_Nes.svg/45px-NO_0236_Nes.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ad/Nes_Akershus_komm.svg/46px-Nes_Akershus_komm.svg.png,Bokmål,Oddmar Blekkerud,Ap
237,Eidsvoll,Eidsvoll,Akershus,23238,456610,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e1/NO_0237_Eidsvoll.svg/45px-NO_0237_Eidsvoll.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c8/Eidsvoll_komm.svg/46px-Eidsvoll_komm.svg.png,Bokmål,Einar Madsen,Ap
238,Nannestad,Teigebyen,Akershus,11882,340980,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a0/NO_0238_Nannestad.svg/45px-NO_0238_Nannestad.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2b/Nannestad_komm.svg/46px-Nannestad_komm.svg.png,Bokmål,Anne-Ragni K. Amundsen,Ap
239,Hurdal,Hurdal,Akershus,2752,284950,https://upload.wikimedia.org/wikipedia/commons/thumb/0/02/NO_0239_Hurdal.svg/45px-NO_0239_Hurdal.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/1/16/Hurdal_komm.svg/46px-Hurdal_komm.svg.png,Bokmål,Runar Bålsrud,Venstre
301,Oslo,Oslo,Oslo,647676,454030,https://upload.wikimedia.org/wikipedia/commons/thumb/7/75/NO_0301_Oslo.svg/45px-NO_0301_Oslo.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/d/da/Oslo_komm.svg/46px-Oslo_komm.svg.png,Nøytral,Marianne Borgen,SV
402,Kongsvinger,Kongsvinger,Hedmark,17881,1036460,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d1/NO_0402_Kongsvinger.svg/45px-NO_0402_Kongsvinger.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/1/10/Kongsvinger_komm.svg/46px-Kongsvinger_komm.svg.png,Bokmål,Øystein Østgaard,Høyre
403,Hamar,Hamar,Hedmark,29847,350940,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a8/NO_0403_Hamar.svg/45px-NO_0403_Hamar.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/7/71/Hamar_komm.svg/46px-Hamar_komm.svg.png,Nøytral,Einar Busterud,BBL
412,Ringsaker,Brumunddal,Hedmark,33603,1281080,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0f/NO_0412_Ringsaker.svg/45px-NO_0412_Ringsaker.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/3/32/Ringsaker_komm.svg/46px-Ringsaker_komm.svg.png,Bokmål,Anita Ihle Steen,Ap
415,Løten,Løten,Hedmark,7552,369450,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5e/NO_0415_L%C3%B8ten.svg/45px-NO_0415_L%C3%B8ten.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/1/15/L%C3%B8ten_komm.svg/46px-L%C3%B8ten_komm.svg.png,Bokmål,Bente Elin Lilleøkseth,Ap
417,Stange,Stange,Hedmark,20013,724220,https://upload.wikimedia.org/wikipedia/commons/thumb/2/24/NO_0417_Stange.svg/45px-NO_0417_Stange.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/3/32/Stange_komm.svg/46px-Stange_komm.svg.png,Bokmål,Nils A. Røhne,Ap
418,Nord-Odal,Sand,Hedmark,5128,508130,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ef/NO_0418_Nord-Odal.svg/45px-NO_0418_Nord-Odal.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b1/Nord-Odal_komm.svg/46px-Nord-Odal_komm.svg.png,Bokmål,Lise Selnes,Ap
419,Sør-Odal,Skarnes,Hedmark,7800,516760,https://upload.wikimedia.org/wikipedia/commons/thumb/c/ca/NO_0419_S%C3%B8r-Odal.svg/45px-NO_0419_S%C3%B8r-Odal.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ef/S%C3%B8r-Odal_komm.svg/46px-S%C3%B8r-Odal_komm.svg.png,Bokmål,Anne-Mette Øvrum,Høyre
420,Eidskog,Skotterud,Hedmark,6219,640390,https://upload.wikimedia.org/wikipedia/commons/thumb/3/34/NO_0420_Eidskog.svg/45px-NO_0420_Eidskog.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fd/Eidskog_komm.svg/46px-Eidskog_komm.svg.png,Bokmål,Knut Gustav Woie,Sp
423,Grue,Kirkenær,Hedmark,4853,837170,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/NO_0423_Grue.svg/45px-NO_0423_Grue.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f1/Grue_komm.svg/46px-Grue_komm.svg.png,Bokmål,Niels F. Rolsdorph,Høyre
425,Åsnes,Flisa,Hedmark,7561,1040980,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5e/NO_0425_%C3%85snes.svg/45px-NO_0425_%C3%85snes.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1c/%C3%85snes_komm.svg/46px-%C3%85snes_komm.svg.png,Bokmål,Ørjan Bue,Sp
426,Våler,Våler,Hedmark,3790,705260,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6a/NO_0426_V%C3%A5ler.svg/45px-NO_0426_V%C3%A5ler.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/0/08/V%C3%A5ler_Hedmark_komm.svg/46px-V%C3%A5ler_Hedmark_komm.svg.png,Bokmål,Kjell Konterud,Ap
427,Elverum,Elverum,Hedmark,20794,1229330,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6e/NO_0427_Elverum.svg/45px-NO_0427_Elverum.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ed/Elverum_komm.svg/46px-Elverum_komm.svg.png,Nøytral,Erik Hanstad,Høyre
428,Trysil,Innbygda,Hedmark,6569,3014430,https://upload.wikimedia.org/wikipedia/commons/thumb/1/11/NO_0428_Trysil.svg/45px-NO_0428_Trysil.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/1/16/Trysil_komm.svg/46px-Trysil_komm.svg.png,Bokmål,Ole Martin Norderhaug,Ap
429,Åmot,Rena,Hedmark,4456,1339850,https://upload.wikimedia.org/wikipedia/commons/thumb/2/28/NO_0429_%C3%85mot.svg/45px-NO_0429_%C3%85mot.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4e/%C3%85mot_komm.svg/46px-%C3%85mot_komm.svg.png,Bokmål,Espen André Kristiansen,Ap
430,Stor-Elvdal,Koppang,Hedmark,2619,2165930,https://upload.wikimedia.org/wikipedia/commons/thumb/6/64/NO_0430_Stor-Elvdal.svg/45px-NO_0430_Stor-Elvdal.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2b/Stor-Elvdal_komm.svg/46px-Stor-Elvdal_komm.svg.png,Bokmål,Even Moen,Sp
432,Rendalen,Bergset,Hedmark,1885,3179560,https://upload.wikimedia.org/wikipedia/commons/thumb/5/57/NO_0432_Rendalen.svg/45px-NO_0432_Rendalen.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0e/Rendalen_komm.svg/46px-Rendalen_komm.svg.png,Bokmål,Norvald Illevold,Ap
434,Engerdal,Engerdal,Hedmark,1359,2196610,https://upload.wikimedia.org/wikipedia/commons/thumb/2/27/NO_0434_Engerdal.svg/45px-NO_0434_Engerdal.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ea/Engerdal_komm.svg/46px-Engerdal_komm.svg.png,Bokmål,Lars Erik Hyllvang,Sp
436,Tolga,Tolga,Hedmark,1656,1122630,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b9/NO_0436_Tolga.svg/45px-NO_0436_Tolga.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1b/Tolga_komm.svg/46px-Tolga_komm.svg.png,Nøytral,Ragnhild Aashaug,Sp
437,Tynset,Tynset,Hedmark,5562,1879630,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6f/NO_0437_Tynset.svg/45px-NO_0437_Tynset.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e8/Tynset_komm.svg/46px-Tynset_komm.svg.png,Nøytral,Bersvend Salbu,SV
438,Alvdal,Alvdal,Hedmark,2418,942550,https://upload.wikimedia.org/wikipedia/commons/thumb/9/97/NO_0438_Alvdal.svg/45px-NO_0438_Alvdal.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fd/Alvdal_komm.svg/46px-Alvdal_komm.svg.png,Nøytral,Svein Borkhus,Ap
439,Folldal,Folldal,Hedmark,1597,1277770,https://upload.wikimedia.org/wikipedia/commons/thumb/0/08/NO_0439_Folldal.svg/45px-NO_0439_Folldal.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ea/Folldal_komm.svg/46px-Folldal_komm.svg.png,Nøytral,Egil Eide,Sp
441,Os,Os,Hedmark,1991,1040480,https://upload.wikimedia.org/wikipedia/commons/thumb/4/42/NO_0441_Os.svg/45px-NO_0441_Os.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e6/Os_Hedmark_komm.svg/46px-Os_Hedmark_komm.svg.png,Nøytral,Arnfinn Nergård,Sp
501,Lillehammer,Lillehammer,Oppland,27300,477440,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b4/NO_0501_Lillehammer.svg/45px-NO_0501_Lillehammer.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2e/Lillehammer_komm.svg/46px-Lillehammer_komm.svg.png,Bokmål,Espen Johnsen,Ap
502,Gjøvik,Gjøvik,Oppland,30063,672160,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/NO_0502_Gj%C3%B8vik.svg/45px-NO_0502_Gj%C3%B8vik.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/3/34/Gj%C3%B8vik_komm.svg/46px-Gj%C3%B8vik_komm.svg.png,Bokmål,Bjørn Iddberg,Ap
511,Dovre,Dovre,Oppland,2745,1363840,https://upload.wikimedia.org/wikipedia/commons/thumb/9/92/NO_0511_Dovre.svg/45px-NO_0511_Dovre.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/1/17/Dovre_komm.svg/46px-Dovre_komm.svg.png,Nøytral,Bengt Fasteraune,Sp
512,Lesja,Lesja,Oppland,2059,2259000,https://upload.wikimedia.org/wikipedia/commons/thumb/1/15/NO_0512_Lesja.svg/45px-NO_0512_Lesja.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5a/Lesja_komm.svg/46px-Lesja_komm.svg.png,Nøytral,Steinar Tronhus,Ap
513,Skjåk,Bismo,Oppland,2245,2075530,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4b/NO_0513_Skj%C3%A5k.svg/45px-NO_0513_Skj%C3%A5k.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3a/Skj%C3%A5k_komm.svg/46px-Skj%C3%A5k_komm.svg.png,Nynorsk,Rolv Kristen Øygard,Sp
514,Lom,Fossbergom,Oppland,2356,1968580,https://upload.wikimedia.org/wikipedia/commons/thumb/1/11/NO_0514_Lom.svg/45px-NO_0514_Lom.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c5/Lom_komm.svg/46px-Lom_komm.svg.png,Nynorsk,Bjarne Eiolf Holø,Sp
515,Vågå,Vågåmo,Oppland,3675,1330250,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bc/NO_0515_V%C3%A5g%C3%A5.svg/45px-NO_0515_V%C3%A5g%C3%A5.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e8/V%C3%A5g%C3%A5_komm.svg/46px-V%C3%A5g%C3%A5_komm.svg.png,Nynorsk,Iselin Jonassen,Ap
516,Nord-Fron,Vinstra,Oppland,5754,1141280,https://upload.wikimedia.org/wikipedia/commons/thumb/1/12/NO_0516_Nord-Fron.svg/45px-NO_0516_Nord-Fron.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a0/Nord-Fron_komm.svg/46px-Nord-Fron_komm.svg.png,Nynorsk,Olav Røssum,Sp
517,Sel,Otta,Oppland,5965,904710,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c4/NO_0517_Sel.svg/45px-NO_0517_Sel.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ec/Sel_komm.svg/46px-Sel_komm.svg.png,Nøytral,Dag Erik Pryhn,Ap
519,Sør-Fron,Hundorp,Oppland,3204,742380,https://upload.wikimedia.org/wikipedia/commons/thumb/2/28/NO_0519_S%C3%B8r-Fron.svg/45px-NO_0519_S%C3%B8r-Fron.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/7/74/S%C3%B8r-Fron_komm.svg/46px-S%C3%B8r-Fron_komm.svg.png,Nøytral,Ole Tvete Muriteigen,Sp
520,Ringebu,Vålebru,Oppland,4459,1247540,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d6/NO_0520_Ringebu.svg/45px-NO_0520_Ringebu.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1b/Ringebu_komm.svg/46px-Ringebu_komm.svg.png,Nøytral,Erik Odlo,Sp
521,Øyer,Tingberg,Oppland,5065,639930,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4e/NO_0521_%C3%98yer.svg/45px-NO_0521_%C3%98yer.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d6/%C3%98yer_komm.svg/46px-%C3%98yer_komm.svg.png,Nøytral,Mari Botterud,Høyre
522,Gausdal,Segalstad bru,Oppland,6210,1191630,https://upload.wikimedia.org/wikipedia/commons/thumb/3/35/NO_0522_Gausdal.svg/45px-NO_0522_Gausdal.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9d/Gausdal_komm.svg/46px-Gausdal_komm.svg.png,Nøytral,Hans Oddvar Høistad,Ap
528,Østre Toten,Lena,Oppland,14796,561770,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fa/NO_0528_%C3%98stre_Toten.svg/45px-NO_0528_%C3%98stre_Toten.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f2/%C3%98stre_Toten_komm.svg/46px-%C3%98stre_Toten_komm.svg.png,Bokmål,Hans Seierstad,Sp
529,Vestre Toten,Raufoss,Oppland,13152,249400,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b6/NO_0529_Vestre_Toten.svg/45px-NO_0529_Vestre_Toten.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8b/Vestre_Toten_komm.svg/46px-Vestre_Toten_komm.svg.png,Bokmål,Leif Waarum,Ap
532,Jevnaker,Jevnaker,Oppland,6599,225740,https://upload.wikimedia.org/wikipedia/commons/thumb/a/aa/NO_0532_Jevnaker.svg/45px-NO_0532_Jevnaker.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c7/Jevnaker_komm.svg/46px-Jevnaker_komm.svg.png,Bokmål,Hilde Brørby Fivelsdal,Ap
